s1_id,other_id,other_source,s1_name,other_name,s1_address,other_address,s1_country,other_country,label
S1-256452080,S2-176322447,S2,Johnson & Jones LLC,JOHNSON & JONES,"78 10th Avenue, Unit D, Columbus, OH","78 Tenth Avenue, COLUMBUS, OH",US,US,1
S1-298418825,S3-121440774,S3,Empire Nasdaq Inc,"orthopedic horizon clinic, llc","1121 Carinoso Circle, Fl 0, Severn, MD","5489 Bayberry Drive, Norfolk, Virginia",US,US,0
S1-602899934,S3-943235471,S3,Best Materials,"Young, Sophia","557 Capital Drive, Lake Zurich, IL","1133 South Boulevard, Oak Park, Illinois",US,US,0
S1-218154116,S3-729711224,S3,Golden Consulting Private Limited,Black Krishna Producer Engineering Private Limited,"S-77, Okhla Industrial Area Phase-Ii, New Delhi, Delhi","390, Civil Lines, Kabba Khera, Unnao, UP",India,India,0
S1-550808488,S3-855433908,S3,Town Of Tiffany Cardiology Midwest Specialists,Precision  Commercial Concepts PC,"N12062 30th Street, Town Of Tiffany, WI","North Carolina, #167 T & J Trl, Linwood",US,US,0
S1-969849472,S2-634881218,S2,Brewer Holdings,Sterling Uniefitd Galaxyedge Associates,"20 Shannon Glen, Perinton, NY","IN, 2416  KICKAPOO DRIVE, LAFAYETTE",US,US,0
S1-765870572,S2-389916542,S2,IO Gulf Private Limited,ಲೈಫ್ ಇಂಡಸ್ಟ್ರೀಸ್,"195 A.G.C.R. Enclave, Delhi, East Delhi, Delhi","PLOT 823 2-239, HEGDE HOUSE COMPOUND, HOMBADY-MANDADI VILLAGE, KUNDAPURA, UDUPI, Karnataka",India,India,0
S1-773030434,S2-825198071,S2,Gujarat Consultants Private Limited,UV TALENT-PRIVATE LIMITED,"5, Lindsay Street Uco Bank Building, 2Nd Floor, Kolkata, Kolkata, Howrah, West Bengal","INS-12 OFF 105, SEC-9, VASUNDHRA GZB GHAZIABAD, GHAZIABAD, Uttar Pradesh",India,India,0
S1-648979238,S3-558458463,S3,Atlantic Pelican Inc.,Mountain-Center,"323 Harts Cove Way, Seneca, SC","138 Rocky Rapids Road, Stamford, Connecticut",US,US,0
S1-103885720,S2-362978845,S2,Lakshmi Al Investment Pvt Ltd,Bangalore Solution Prívate Ltd,"Aquamarine A Wing, Anmol Nayantara Gold, Nashik., Nashik, Flat No 07, Maharashtra, Nashik","NO 3 , KUMARAKRUPA ROAD, MADHAVANAGARA, BANGALORE, ಕರ್ನಾಟಕ",India,India,0
S1-476148399,S3-783577075,S3,Halterman United Archimedes,Halterman United Archimedes,"40 Howard Street, Reading, MA","40 Howrd Street, Reading, Massachusetts",US,US,1
S1-937265126,S3-618683119,S3,Drayex Plum,Drayex Plum,"ME, Stetson, 796 Village Road","796 Village Rd, Stetsn, Maine",US,US,1
S1-918762537,S2-916941986,S2,Womens Health Care Associates,Total Data,"PA, Unit Unit 4, 126 Main Street, Souderton Borough","37-41 Perkins Drive, FORT EDWARD, NY",US,US,0
S1-117945085,S2-868270570,S2,Better Bleichroeder LLC,Services Velva Inc,"12022 Greenwood Estates Drive, Houston, TX","711 2ND STREET, ASOTIN, WA",US,US,0
S1-570246826,S3-260019948,S3,Story Pacific Altenergy P.C.,Tucker Pabtrns Group,"413 Holiday Lane, Greentown, IN","113 Green Meadow Circle, NULL, Townsend, Delaware",US,US,0
S1-696169195,S2-114003375,S2,Ardis Carroll Keystone,KELLSIE YOUNGMAN PACELINE WESTGATE INC. SERVICES,"27585 Shake Road, Town Of Scott, WI","12342 VEGAS DRIVE, TUCSON, AZ",US,US,0
S1-805121860,S3-208657409,S3,Kritendra India Private Limited,लक्ष्मी एंटरप्राइजेज होटल प्राइवेट लिमिटेड,"Plotno.32, D.No. 55-1-7/2 Incometax Colony, Patamata, Vjayawada, Krishna, Andhra Pradesh","5 Haley Roadkasturba Gandhi Marg, New Delhi, Central Delhi, DL",India,India,0
S1-643831701,S3-303094357,S3,Sisson Investments LLC,All Logistics Worldwide-of-Junction City,"4941 Elk River Rd, Elkview, WV","1404 Setgast Circle, Junction City, Kansas",US,US,0
S1-429060881,S3-587256878,S3,GPU Tax Inc,GPU-Tax,"816 Berberick Road, Litchfield, NY","816B Berberick Road, Frankfort, New York",US,US,1
S1-785595716,S3-337914315,S3,Twisted Hair Studio,CHATTANOOGA COMMUNITY CENTER,"327 10th Street, Unit 11, Washington, DC","2507 Oak Shadows Drive, Chattanooga, Tennessee",US,US,0
S1-951023137,S2-425825753,S2,Good Arch LLC,"Avila, Ida S., DDS","Grove, OK, 1438 Terry Lane",,US,US,0
S1-428342836,S3-920723635,S3,Vision Enterprises Private Limited,Services Tech Housing Limited Center,"Bldg N 4, Giridhar Nagars, No 117 Warje, Malwadi, Pune, Maharashtra","3-8, Amritsar, PB",India,India,0
S1-50780825,S2-892722485,S2,Spm Maker Private Limited,Ghl Techno  Co,"Flat No 502, H.No 2-2-64/A And B Ganga Golden Towers, Amberpet, Hyderabad, Telangana","PLOT NO-D/131/A PHASE-2 MAIN RD, VNR RESIDENCY, TIRUMALAGIRI, Telangana",India,India,0
S1-90909924,S2-433496576,S2,Mason and Okoro Midland LLC,Partners Legacy Value Inc,"Sunland Park, NM, 216 Rio Grande Drive","550  1400, LOGAN CITY, UT",US,US,0
S1-464840778,S2-105297204,S2,Software West Private Limited,Software West Private  Ltd,"Evp-B-T-194-2F, Emaar Emer, Ald Hills Gce Road, Sec65, Badshahpur, Gurgaon, Haryana","EVP-B-T-194-2F, EMAAR EMER, ALD HILLS GCE ROAD, SEC65, BADSHAHPUR, Haryana",India,India,1
S1-318435854,S3-270229217,S3,Mining Cooling Limited,यूनिक प्रोड्यूसर प्राइवेट लिमिटेड,"No.17, Hanumantha Road, Balaji Nagar Royapettah, Chennai, Tamil Nadu","Greater Mumbai, Thane, MH, Plot 67 House No.94 Sub-district Kalyan",India,India,0
S1-943757926,S3-937146300,S3,Prime Energy Alliance,Moore United,"16395 Man O'war Lane, Westfield, IN","Fontaa, California, 386 Tamarind Avenue",US,US,0
S1-853005321,S2-374095905,S2,Adrith Institute of Technology Private Limited,Dynamic Consultancy Public Limited,"Delhi, South Delhi, Oriental House, Gulmohar Enclave Commercial Complex, Yusuf Sarai, 101-102, New Delhi","H.NO B3/43 C/O- RENU SINHA, ANAND NAGAR, BIHAR SHARIF, BIHARSHARIF, Bihar",India,India,0
S1-19895734,S3-401941230,S3,AX Platinum Pharmaceutical,AX P1atinum Pharmaceutical,"1363 East Street, Crete, IL","East St, <NULL>, Crete, Illinois",US,US,1
S1-266045124,S3-354583038,S3,Nazar Multitrade Pvt Ltd,Pve Rmj Rawal Holdings Limited,"2/96B, Keelakudiyiruppu Panangulam Po, Alangudi Tk, Pudukkottai, Pudukkottai, Sivaganga, Tamil Nadu","Patna, No 61 C/o Ramdeo Tiwari, Darbhanga, BR",India,India,0
S1-353497462,S3-744055441,S3,Balaji Enterprises Pvt Ltd,Iripyra doing business as Balaji Enterprises Pvt Ltd,"113 Park Street 5Th Floor, Kolkata, Calcutta, West Bengal","113 Park Street 5Th Floor, Kolkata, Calcutta, West Bengal",India,India,1
S1-502787193,S3-241538398,S3,King Disciplined LLC,"Anatola L. Elam, D.C. Co","1517 Greytown Way, Knoxville, TN","5367 1/2 Derron Avenue, Memphis, Tennessee",US,US,0
S1-592337249,S2-751235718,S2,Vertex & Partners Ltd,BANGALORE SHOT CO.,"Paithan, Maharashtra, Aurangabad, 3384 Pannalal Nagar Paithan","DOOR NO 1278 , THIRD FLOOR, OPPSITE RTO OFFICE 2 BLOCK, BTM 4TH STAGE, AREKERE, BANGALORE, Karnataka",India,India,0
S1-765044334,S3-853259194,S3,Gulmohar Trading Private Limited,UNIQUE INTERNATIONAL SCHOOL VENTURES,"5/B, Laxmi Colony, B/H Dinesh Mill Productivity, Road Akota, Vadodara, Gujarat","No.175, Bangalore, ಕರ್ನಾಟಕ",India,India,0
S1-523491259,S3-36249737,S3,Family Cascade Center,Renner Gflhba LLC LLC,"5726 Crossbrooke Lane, Waterville, OH","1140 Langness Cir, Ellicott, Colorado",US,US,0
S1-321832497,S3-706149310,S3,Fortune Engineering Private Limited,फॉर्च्यून Engineering Private Limited,"C/O Shri Karbhari Saluba Jadhav Ghodegaon, Aurangabad, Maharashtra","C/o Shri Karbhari Saluba Jadhav Ghodegaon, Aurangabad (MAHARASHTRA), Aurangabad, महाराष्ट्र",India,India,1
S1-997578259,S3-623732367,S3,3904 Ocean Lane Holdings,Zetajaxnovi,"2817 Liberty Bell Lane, OH, Reynoldsburg","245 Wyoming Avenue, Unit 410, Melrose, Massachusetts",US,US,0
S1-204796881,S3-744803323,S3,Kolkata Technologies,Vivek Traders Private Limited,"Bentick Street, Room No. 3A & 4A Shri Krishna Chember, 1St Floor, Kolkata, West Bengal, Kolkata, 78, Howrah","S.no.6-6. 1/2/3 Flat - A-3/703, Pune City, MH",India,India,0
S1-929885323,S3-190303271,S3,A Cure 7 You,Barnette-and Dúong P.C.,"9246 Brook Street, Duluth, MN","3116 Lowell Court, Stillwater, Minnesota",US,US,0
S1-288424363,S2-908324259,S2,Great House,Zepeda Pdacifc Mines,"6420 Renate Rd, Louisville, KY","335 COURT STREET, WASHINGTON COURT HOUSE, OH",US,US,0
S1-789957863,S3-696705147,S3,Best Products Private Limited,Red Ace Tech Private [(Limited)],"L-330, Sector-12, Pratap Vihar, Ghaziabad, Roza Yakubpur, Ghaziabad, Uttar Pradesh","F-402, 4Th Floor, Ras Vilas Mall, Plot No.d1, New Delhi, South Delhi, दिल्ली",India,India,0
S1-233299096,S2-969326259,S2,Ocker Optimal Atlantic,Murphy Energy Inc,"2921 Bermuda Grass Loop, Virginia Beach City, VA","57 242, ELBA, AL",US,US,0
S1-873716709,S2-415797386,S2,Dawson Veterinary Clinic LLC,Regional Holdings Services,"100 Berkshire Road, Raleigh, NC","8524 136ND STREET COURT, PUYALLUP, WA",US,US,0
S1-771499810,S2-341825706,S2,Innovative Services Private Limited,Mesmeric Mills (India) Limited,"Top Floor Pno. 13 Major, Shopping Centre Zone I, Huzur, Bhopal, Madhya Pradesh","16RD FLOOR 399 G.T.ROAD (NORTH), HORAH, West Bengal",India,India,0
S1-229635892,S2-459985188,S2,Darlleen's Pinnacle Publishing,BAUMAN CRNETOUCT CORP,"36 Brunelle Drive, Rutland, MA","7020-7024 TOMBSTONE RD, ALBUQUERQUE, NM",US,US,0
S1-461759863,S3-372398149,S3,Blanc Jackson Inc,"Liriex Liriex Equity Partners,","2324 University Drive, Auburn, AL","Lincoln, 5700 Rkeby Rd, Nebraska",US,US,0
S1-205150313,S2-846936095,S2,Kwiatkowski Fresh Can LLC,Prairie Network,"8014 Hickory Hill Lane, Huntsville, AL","PO BOX 2292, AR, 332 SLATE HILL ROAD, MULBERRY",US,US,0
S1-538828263,S3-210368357,S3,"Ortiz, Sauer and Manning Muzero",Ortiz,"108 72 Street, Brooklyn, NY","108 72 Street, Brooklyn, NY",US,US,1
S1-743138406,S3-655284201,S3,Select Grupo LLC,Select Grcuos LLC,"12875 Tallow Tree Drive, Chardon, OH","Munson Twp, 12875 Tallow Tree Dr, Ohio",US,US,1
S1-552445018,S3-131554871,S3,RO Oyj,Preferred  Delta,"Unit 11, Needham, 105 Chestnut Street, MA","928 Logan Street, New Philadelphia, Ohio",US,US,0
S1-581823036,S3-701098887,S3,"FW Kkr, LLC",rocky program,"1918 45th Street, Phoenix, AZ","868 Cedar Street, Rock Hill, South Carolina",US,US,0
S1-889267121,S2-922470480,S2,3013 Mountain View Blvd Management Partners,MINOO CAPITAL  STORAGE,"7230 Hayman Street, Groves, TX","3600- MICHAEL BLVD, MOBILE, AL",US,US,0
S1-15821655,S2-60910762,S2,Allied Fidelity Corp,ALLIEDFIDELITY.COM,"8700 Burlington Road, Hurdle Mills, NC","8829 BURLINGTON RD, HURDLE MILLS, NC",US,US,1
S1-317182941,S3-658070768,S3,HQT Entertainment Inc,Group Surratt Fields,"4828 9th Terrace, Birmingham, AL","14225 Promised Land Lane, Trumann, Arkansas",US,US,0
S1-142907982,S3-488921180,S3,Royal Group Corporation,Dronagiri Infrastructure Private Ltd,"Unit No.St-203, 2Nd Floor, Adhyaru Industrial Premises, Co-Operative Society Ltd, Lower, Parel, Mumbai, Mumbai City, Maharashtra","C/o Abdul Razak. A, 12/149/D Mullasery Veedu, Chirayinkeezhu, Thiruvananthapuram, Trivandrum, KL",India,India,0
S1-641334607,S2-84296851,S2,Liberty Airport PC,Cardiology Royal Center Partners,"119 Crisler Avenue, Mcalester, OK","#6476 MARY ESTHER LN, HANOVER COUNTY, VA",US,US,0
S1-952992274,S2-380844972,S2,Luxus Trading Private Limited,হাই সিস্টেমস প্রাইভেট লিমিটেড,"Smart Avenue, Unit Fo-02, 4Th Floor, 28/A, 80 Feet Road, Michael Palaya, Indira Nagar, Bengaluru, Bangalore North, Bangalore, Karnataka","KOLKATA, West Bengal, HOWRAH, BEHALA, DIAMOND FLT - C-3/H 6 NRISINGHA DUTTA ROAD",India,India,0
S1-235960868,S2-478803757,S2,Main Street Bistro PLLC,Credit Printing Labs Downtown,"Hoover, 1469 Legacy Drive, AL","12 EDEN ST, BOSTON, MA",US,US,0
S1-252075312,S2-836625149,S2,Hageman Acquisitions LLC,hagemanacquisitions.com,"2208 Salem Drive, Carrollton, TX","2208 Salem Drive, CARROLLTON, TX",US,US,1
S1-555973111,S3-163221424,S3,Hotel Infra LLP,Hotel LLP Center,"Sy No 48/9, Markandeya Nagar, Rajendranagar, Hyderabad, Telangana","Sy No 48/9, Markandeya Nagar, Rajendranagar, Hyderabad, TG",India,India,1
S1-448137263,S2-724030204,S2,Corner Cleaning Service! Inc,Myers's Rocky Pilates  (Ltd),"21146 Arrowhead Trail, Queen Creek, AZ","1121 TAOS TRAIL, RALEIGH, NC",US,US,0
S1-627314629,S2-593917387,S2,Modern Technologies LLP,Ovs &,"H.No 6-79/10/12, Plot No -155, 7Th Cross, Ramachandrapuram, Medak, Telangana","PL NO. G-874 KH NO-308, RAMPARK GZB. LONI UP, GHAZIABAD, Uttar Pradesh",India,India,0
S1-741105689,S3-190237820,S3,Gonzales Globa LLC,Brightis Merger,"3513 Spring Lake Terrace, Fairfax City, VA","PMB 2151, Texas, Georgetown CITY, 1623 Northwest Blvd",US,US,0
S1-838029651,S3-359869275,S3,South Construction Limited,Prabha Finance Public Ltd,"Rajajinagar, No.1653, 2Nd Floor 9Th Main, A Block, 2Nd Stage, Karnataka, Bangalore","No: 28-89H, Kanyakumari District, Kanniyakumari, TN",India,India,0
S1-419860280,S3-326151197,S3,Gurukripa Technologies Private Limited,Media Dabri Photography,"E 5 First Floor, Inner Circle, New Delhi, Central Delhi, Delhi","C/o Rahul Dev, Panchsheel Bhawan, Sadbhawna Nagar, Ganeshpur, Ganj Dundwara, Etah, Kasganj, UP",India,India,0
S1-251589139,S3-201768752,S3,A Modern Pan LLC,Montgomery's LLC Energy,"KY, Louisville, Unit 333, 4805 Olympia Park Plz","Bellevue, Washington, 162nd Avenue",US,US,0
S1-565903580,S3-897941220,S3,"Ng Precision Tinto, Inc",City Of Menomonie Autism Assistance Council Incorporated,"40845 Merchants Lane, Unit 170, Leonardtown, MD","1109 Broadway St, City Of Menomonie, Wisconsin",US,US,0
S1-232748585,S3-279888778,S3,Rosemary Torres Homes,*** Geraldine Secord Center,"442 Griswold Road, Wethersfield, CT","21 400, Brigham City, Utah",US,US,0
S1-114940445,S2-785023737,S2,Real Media Private Limited,Real Media Prívate Limited,"Plot No. B-22, 3Rd Floor, H.No. 11-7-225, Huda Colony, Near Citizen Co-Operative Bank, Kothapet, Hyderabad, Telangana","PLOT NO. B-22, 3RD FLOOR, H.NO. 11-7-225, HUDA COLONY, NEAR CITIZEN CO-OPERATIVE BANK, KOTHAPET, HYDERABAD, Telangana",India,India,1
S1-607204571,S3-325498397,S3,Classic It Private Limited,Guru Services Jewellers Limited Center,"K-174, Gali No. 8 20 Futa Road, Wazirabad Village, Delhi, New Delhi, Delhi","#65, Back Portion, Moti Nagar, Delhi, New Delhi, DL",India,India,0
S1-357158697,S2-876704888,S2,Bangalore Solutions Pvt. Ltd.,यूनाइटेड इंफ्रास्ट्रक्चर प्राइवेट लिमिटेड,"Kno.1125/306/1, Vabhasandra, Jigani Main Road, Neeladri Nagar, Electronic City Po, Bangalore, Karnataka","C/O BARUN KUMAR BABARIA, ARARIA, PURNEA, Bihar",India,India,0
S1-86481632,S2-314468539,S2,Idi Vidyalaya Group,Veoorbibrix,"Mohan Appartment 2 2Nd Floor, Mission Compound, Bolpur, Birbhum, West Bengal","SECUNDERABAD, Telangana, NO 7",India,India,0
S1-988137529,S3-747442883,S3,Orthopedic Clinic LLC,Beacon Wireless,"3585 Haines Road, Hermantown, MN","405 Washington Blvd, Mundelein, Illinois",US,US,0
S1-393377396,S3-139943479,S3,Knight & Ramos Virginia LLC,Reid Family Practice Metro,"215 Base Line Street, San Bernardino, CA","1499 Rowles Dr, AKRO Ncity, Ohio",US,US,0
S1-768186638,S2-808785503,S2,4528 Mountain View St Realty LLC,LLC 4528 Mountain Vnliw St Realty,"1128 Westshore Court, Morrisville, NC","##1128 WESTSHORE CT, MORISVILLE, NC",US,US,1
S1-687798754,S3-405827435,S3,Kaitlin Sandberg Neuberger LLC,Belonyla DBA Davis Automobile Inc,"14951 Irvine Road, Winchester, KY","61500 Greentree Drive, South Bend, IN",US,US,0
S1-202557425,S3-661434105,S3,Ss Marketing Private Limited,Meenniya LLP Adhesive,"62-A Nehru Colony, Thatipur, Gwalior, Madhya Pradesh","Unit-93, Level 3B, Dlf Centre Sansad Marg, Connaught Place, Central Delhi, New Delhi, दिल्ली",India,India,0
S1-489136797,S3-346704363,S3,Shivay Restaurant Private Limited,Grand (India) News Private,"Bunglow No 41, B/1, Yashodham Enclave, Goregaon East, Mumbai, Maharashtra","Plot No. N-7-5/145 Irc Village, Nayapalli, Bhubaneswar, Khordha, OD",India,India,0
S1-64897687,S3-333173979,S3,Harrison Crystal Gores,M0ntgomery and Castillo Corporation,"1002 Hively Avenue, Elkhart, IN","Main Street, Livingston, Tennessee",US,US,0
S1-57991397,S2-484184440,S2,Solutions Rk Projects Private Limited,ফরচুন লজিস্টিকস প্রাইভেট লিমিটেড,"B-1108, Green Field, Faridabad, Haryana","LOT NO 14, Q INDUSTRIAL PARK 3, BLOCK B, TALCHINAN-SANIHATI, HUGLI, HOOGHLY, West Bengal",India,India,0
S1-47686002,S2-235803593,S2,Good Hospitality Pvt Ltd,குட் ஹாஸ்பிடாலிட்டி பிரைவேட் லிமிடெட்,"Sf #393/2B, S Pudupalayam, Serukkalai Paramathivelur, Namakkal, Tamil Nadu","SF #393/2B, NAMAKKAL, Tamil Nadu",India,India,1
S1-889041816,S3-693847783,S3,Tirupati Brothers Private Limited,(india) Shiva Wellness Private Limited Limited,"Plot No 708, Dhar, Industrial Area Sector-3, Madhya Pradesh, Pithampur","No 21. 5Th Main Ganganagar Extension, Bangalore, KA",India,India,0
S1-67585842,S2-134627292,S2,"Pammie Black, DDS","PAMMIE B,GF B,GF DDS","19830 Hwy 22, Unit 103, Wildersville, TN","19830 HWY 22, WILDERSVILLE, TN",US,US,1
S1-304749679,S3-495248328,S3,Heritage Certified Legato Inc,Heritage Certified Ledmdlato Inc,"14303 Bedford Drive, Eden Prairie, MN","Bedford Drive, Eden Prairie, Minnesota",US,US,1
S1-768130099,S2-46184839,S2,Bharuch Institute Private Limited,Bharat Foundation Co,"Shop No.1F/4, Datt Krupa Society Nr 66Kv Ss Road, Village -Bharuch, Bharuch, Gujarat","PLOT 367 HOUSE NO-383 SOOT KI MANDI, KASGANJ, Uttar Pradesh",India,India,0
S1-334539162,S3-864675514,S3,Vantova Networks LLC,Vantova Networks,"106 Light Post Way, NY, Bellmont","106 Light Post Way, Lyon Mountain, New York",US,US,1
S1-602746505,S2-349746325,S2,Urban Energy Private Limited,Urban Energy Prívate Ltd,"3Rd Floor At 36, Reve Prabbathi South End Road, Basavangudi, Bengaluru, Bangalore, Karnataka","#3RD FLOOR AT 36, REVE PRABBATHI SOUTH END ROAD, BASAVANGUDI, BEGALURU, Karnataka",India,India,1
S1-73519180,S2-661040861,S2,Wilmoth Atlantic Graphics LLC,Sullivan Nortehrn,"505 Elmwood Avenue, Unit Apartment 12J, Buffalo, NY","829A SECOND STREET, JAMESTOWN, NY",US,US,0
S1-126594403,S3-667229201,S3,Ritecque Quality Central LLC,Latona Annaly (Care),"1705 Taylor Street, Arlington County, VA","2 Woodland Lne, <NULL>, Vandalia, Illinois",US,US,0
S1-760586283,S3-2839303,S3,Aeriela Williams Element LLC,Smith Smart Starling,"3820 Palmetto Court, Ellicott City, MD","36-38 Buena Vista Dr, East Hartford, Connecticut",US,US,0
S1-909236459,S2-104750832,S2,Unified Design Networks PC,Unified Design Networks PC,"1 Park Lane, Unit Apartment 5E, Mount Vernon, NY","#1 PARK LANE, MOUNT VERNON, NY",US,US,1
S1-566822683,S3-613277949,S3,"Emelyne Wooten, P.A.",Temple-Ministries Co,"712 Railroad Street, Memphis, IN","3356d Dickinson Cv, Taylorsville, Utah",US,US,0
S1-181977068,S2-798735252,S2,Ss Investments Pvt Ltd,Amravati Software (tIndica) Ltd,"201, F-Block, Near Vishal Traders, Panki, Kanpur Nagar, Uttar Pradesh","H.NO.68-M, GOBIND NAGAR, BASTI GUZAN, JALANDHAR, JALANDHAR - I, Punjab",India,India,0
S1-925023449,S3-474705082,S3,Vision Medicine Inc.,Vision Inc.-Center,"4010 Sterling Springs Lane, League City, TX","League City, 4010 Sterling Springs Ln, Texas",US,US,1
S1-114171383,S2-701018615,S2,Maha Trading Private Limited,Raj Software,"G-161, Sector-63, Noida, Gautam Buddha Nagar, Uttar Pradesh","Tamil Nadu, 1, KRISHNASWAMY NAGAR COIMBATORE, COIMBATORE",India,India,0
S1-566187096,S2-124668459,S2,FCJ Project Care,ಬ್ರೈಟ್ ಯುನಿವರ್ಸಲ್ ಫೈನಾನ್ಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"Saket Building, 44A, Park Street, Mullick Bazar, Park Street Area, Kolkata, Kolkata, Howrah, West Bengal","FLAT NO 1404 VRR FORTUNA, BANGALORE, Karnataka",India,India,0
S1-937970940,S3-286068867,S3,Piedmont Project,H & Q PRUDENTIAL,"8327 Audrey Lane, Peoria, AZ","1128 Smith Cir, Paoli, Indiana",US,US,0
S1-772028951,S3-737785105,S3,Ivins Sun LLC,Saix (Group),"Pinehurst, NC, 650 Lake Dornoch Drive","4244 Hydraulic Ave, # APT 208, Wichita, Kansas",US,US,0
S1-375390224,S2-878458362,S2,Bs Health Private Limited,Tridha Technologies Private  Limited,"#26, Vinayaka Apartments, G3, 6Th Cross, Hosahalli, Vijayanagar, Bangalore, Karnataka, Bangalore, C/O Mr Ganapati S Bhat","101. GYANDEEP CHS PLOT NO 54A, SECTOR 14, KOPARKHAIRNE, MUMBAI, Maharashtra",India,India,0
S1-533890205,S2-515975658,S2,"Pedroso Btc, LLC",Star Analytics Group,"397 Barrett Hill Road, Carmel, NY","299 ROAD 5805, CLEVELAND, TX",US,US,0
S1-60893743,S3-569140967,S3,Dois Atlantic High LLC,Dois Atlantic High Llc,"15682 Smith Beach Road, Northampton County, VA","##15682 Smith Beach Rd, Eastville, Virginia",US,US,1
